cpf;indices
012.346.879-50;52301
012.348.679-31;28039
012.348.975-04;41291
012.354.678-80;84699
012.356.947-80;84559
012.357.948-14;78288
012.365.894-24;21211
012.367.958-30;67521
012.376.498-03;98455
012.378.649-50;56502
012.385.649-33;56129
012.385.769-40;97134
012.386.954-42;73209
012.387.694-03;53007
012.389.456-51;46808
012.394.576-34;28172
012.394.786-31;72538
012.395.687-03;86604
012.397.856-40;23044
012.436.798-40;44816
012.438.659-89;48503
012.439.687-96;45881
012.453.987-41;45844,73514
012.458.739-97;27587
012.473.968-78;63651
012.478.695-20;99219
012.478.953-60;64797
012.485.769-85;46744
012.486.375-26;43111
012.486.739-13;78898
012.487.935-79;45683
012.493.856-60;50361
012.495.678-58;60444
012.496.758-20;41893
012.497.536-43;61376
012.497.586-02;73860
012.498.367-78;91525
012.498.563-70;21298
012.534.987-41;44129
012.539.784-41;8336
012.543.678-53;81857
012.546.937-34;91317
012.546.973-06;49727
012.546.987-01;11899
012.548.376-71;16960
012.563.478-17;22569
012.563.948-15;4269
012.563.974-07;66440
012.567.438-44;31243
012.568.973-02;90268
012.576.394-80;6635
012.579.648-01;28551
012.584.763-71;86914
012.587.639-40;95452
012.593.487-41;6046
012.593.684-24;58834
012.593.687-77;42913
012.596.437-43;20916
012.598.463-42;79821
012.598.763-30;67159
012.635.478-26;20801
012.635.948-24;6568,17043
012.638.459-24;93301
012.639.578-03;20215
012.645.379-99;38841
012.649.873-31;63023
012.657.893-12;54122
012.658.739-68;80010
012.659.387-68;93524
012.659.734-07;78936
012.673.495-06;32824
012.673.594-80;61158
012.673.958-77;10743
012.674.385-17;55214
012.679.345-06;64177
012.679.584-30;64656
012.683.479-22;86452
012.684.357-08;31598
012.684.973-04;88362
012.687.593-68;70673
012.694.378-87;75334
012.695.374-07;8918
012.695.473-99;68506
012.695.743-61;37673
012.695.843-24;59940
012.698.753-02;62077
012.736.458-71;1670
012.738.496-04;36119,43538
012.739.465-61;34567
012.739.586-59;81551
012.746.958-30;94444
012.749.568-11;14941
012.754.398-88;53311
012.758.364-53;83294
012.758.963-59;15772
012.768.935-40;74412
012.769.453-61;2444
012.785.364-26;9151
012.785.496-76;31848
012.785.693-59;54006
012.786.453-90;72747
012.793.485-50;49186
012.794.836-87;12754
012.795.463-52;74508
012.798.463-13;92980
012.798.564-67;42127
012.798.653-77;84375
012.834.576-44;9553
012.834.579-97;30624
012.835.497-60;53745
012.839.675-02;79963
012.843.569-06;62366
012.843.756-17;74503
012.843.796-04;30239
012.845.693-06;91956
012.847.935-32;31733
012.849.376-31;93255
012.854.937-88;1623
012.856.947-67;86345
012.863.457-07;88330
012.863.475-80;35557
012.863.497-96;75835
012.875.369-21;77342
012.893.547-23;9497,15784
012.894.573-79;85022
012.895.467-11;87533
012.896.473-13;52526
012.896.475-85;54350
012.896.574-67;20319
012.896.735-86;96226
012.897.435-41;3048
012.897.456-76;85340
012.937.486-50;38687
012.938.654-51;97477
012.946.358-24;34363
012.947.836-96;77894
012.953.748-97;96491
012.954.368-33;31662
012.954.678-01;48015
012.956.738-86;52457
012.958.376-68;7930
012.963.475-16;76052
012.968.374-40;6930
012.973.584-14;30099
012.973.684-87;68543
012.985.764-58;61159
013.249.587-23;49677
013.254.679-52;79396
013.256.478-53;41948
013.256.748-26;81172
013.256.874-80;55598
013.257.869-77;85964
013.258.469-70;6105
013.267.589-77;10047
013.269.578-21;33976
013.274.698-04;19422
013.274.965-34;70304
013.276.458-07;26886
013.276.849-69;36861
013.278.459-97;59354
013.285.796-03;45303
013.289.456-42;47690
013.289.465-33;96844
013.296.458-98;21386
013.297.865-21;74677
013.425.876-26;91252
013.425.987-41;75444
013.426.958-60;48917
013.427.596-99;94833
013.456.289-51;53032
013.456.789-75;58127
013.459.728-14;85901
013.465.829-98;81877
013.467.985-75;90625
013.468.725-62;33092
013.469.275-61;75960
013.475.829-32;70101
013.476.289-40;82917
013.478.695-57;68067
013.478.926-13;51927
013.479.856-20;52779
013.487.925-23;87459
013.489.562-24;51760
013.489.576-20;14514
013.489.627-04;92989
013.492.568-89;10369
013.492.678-13;6346
013.496.257-52;79014
013.496.572-80;81617
013.496.857-39;92899
013.498.765-93;77919
013.526.498-70;59056
013.527.869-40;13677
013.527.946-16;838
013.527.986-03;18206
013.528.697-21;56241
013.528.794-41;81948
013.548.279-88;16074
013.549.876-75;25982
013.567.248-17;15938
013.568.724-17;503
013.569.782-40;21447
013.572.649-25;69855
013.584.726-53;6984
013.584.792-32;39236
013.586.742-80;10366
013.589.462-05;39489
013.594.786-39;48062
013.596.247-16;36819
013.625.879-40;34172
013.627.948-13;53249
013.628.597-02;45888
013.645.728-26;7019
013.654.872-53;64117
013.657.928-03;53239
013.659.487-57;22697
013.675.894-01;89122
013.675.948-39;45229
013.679.842-03;39868
013.684.792-78;13040
013.687.245-07;15578
013.687.259-02;55295
013.689.457-75;42773
013.694.758-10;68765
013.695.427-80;67611
013.695.784-66;33908
013.695.827-30;62924
013.697.542-99;7685
013.697.825-86;29963
013.724.596-34;51117
013.724.659-52;65780
013.725.498-97;94111
013.728.569-86;35776
013.728.659-77;39120
013.746.598-00;67189
013.748.529-88;88045
013.752.869-86;2844
013.752.946-52;21660
013.752.964-34;84641
013.754.269-07;21183
013.754.629-70;89829
013.759.264-70;1588
013.765.482-08;74581
013.765.842-71;93158
013.768.542-44;5594
013.782.954-04;72397
013.784.296-13;29141
013.786.295-40;25318
013.786.942-87;36779
013.789.246-22;852
013.789.256-02;51857
013.789.452-04;37918
013.789.542-97;49406,57178
013.792.486-04;61528
013.792.684-78;72248
013.795.284-88;10051
013.798.264-03;9112
013.825.697-77;71014
013.825.946-15;80592
013.827.659-59;22316
013.829.547-60;87257
013.829.645-60;53538
013.829.647-22;72651
013.847.926-78;64698
013.849.562-98;89707
013.852.794-60;35083
013.856.247-44;83232
013.857.296-86;17654
013.859.274-88;20505
013.862.759-21;21524
013.867.492-22;98398
013.869.247-50;55210
013.869.275-03;50701
013.872.495-41;75524
013.874.596-00;37752
013.874.692-31;64655
013.876.492-13;89312
013.892.465-15;61018
013.892.564-05;60033
013.894.526-89;4132
013.894.572-14;183
013.894.657-48;56176
013.895.247-79;39408
013.895.726-68;87707
013.896.547-10;24784
013.897.426-87;79556
013.928.654-33;85173
013.948.276-87;13784
013.948.675-57;73379
013.956.428-42;54806
013.956.478-01;82353
013.957.628-21;41415
013.964.278-13;76659
013.965.874-20;95406
013.972.846-50;64145
013.975.628-03;10757
013.978.642-22;45915
013.984.276-40;15780
013.984.567-48;76215
013.985.642-06;28718
014.236.597-16;62442
014.236.758-35;26194
014.236.975-61;4242
014.239.786-50;30762
014.239.857-88;85489
014.258.963-24;47132
014.259.638-89;68210
014.259.736-80;82992
014.263.598-70;71930
014.265.937-16;41229
014.267.398-69;3060
014.267.589-01;17860,72082
014.267.593-80;65670
014.268.539-98;33946
014.268.759-67;39758
014.269.587-49;23919
014.276.398-50;65067
014.278.563-62;55517
014.278.963-13;46512
014.279.538-05;65701
014.287.639-96;60136
014.287.963-04;24095
014.289.763-96;48259
014.295.368-70;97046
014.297.368-87;47477
014.298.376-40;83277
014.298.735-23;68689,80053
014.326.579-25;71748
014.326.859-70;52509
014.329.685-05;56615
014.329.867-40;20046
014.352.897-14;62079
014.356.827-26;4006
014.358.726-90;97776
014.358.976-84;12958
014.367.258-44;6087
014.368.792-13;67599
014.369.275-52;92522
014.369.872-96;41145
014.376.258-35;60157
014.382.795-23;52751
014.386.972-87;84160
014.392.768-03;96545
014.395.268-42;13604,89379
014.397.685-01;84182
014.523.987-04;5246
014.527.896-49;45632
014.529.378-50;84584
014.529.687-30;21595
014.532.976-34;21607
014.536.298-15;47996
014.538.269-98;44959
014.538.627-90;45994
014.538.729-14;54371
014.562.978-30;51131
014.563.827-80;29554
014.563.978-93;64176
014.569.723-16;71331
014.572.839-05;35414
014.579.263-34;65961
014.579.623-06;94634
014.579.823-23;44696
014.582.697-01;67818
014.586.937-75;75396
014.589.672-20;43295
014.589.723-05;59707
014.598.273-41;63665
014.625.379-52;56568
014.629.785-76;69704
014.637.589-01;27964
014.637.928-40;64936
014.653.287-26;1701
014.672.398-87;32543
014.672.538-71;488
014.675.392-52;95560
014.679.835-00;38501
014.682.357-53;26400
014.689.357-39;36120
014.692.538-60;78494
014.692.735-43;81909
014.693.528-42;70118
014.698.327-04;69742
014.698.527-30;44044
014.726.853-26;3773
014.738.659-48;48009
014.739.628-03;43516
014.739.658-10;78477
014.753.968-48;7334
014.756.398-48;95359
014.759.683-10;49857
014.768.395-57;74891
014.768.593-10;71115
014.785.692-20;58327,66489
014.785.926-30;51468
014.796.832-13;39154
014.825.369-51;1615
014.825.739-97;93093
014.826.953-24;65310
014.829.365-42;12874
014.832.579-32;99319
014.832.956-05;475
014.832.965-98;57432
014.837.596-01;15347
014.867.592-11;88629
014.873.569-00;94491
014.873.592-41;79051
014.875.293-41;68419
014.879.625-76;61058
014.892.365-89;46191
014.896.732-96;35377
014.897.635-20;26405
014.923.658-15;97821
014.925.736-80;72899
014.926.738-03;18375
014.926.853-05;9370
014.926.857-20;56916
014.928.736-40;74376
014.932.567-34;87025
014.937.652-99;3172,83784
014.938.267-78;78117
014.952.763-25;33047
014.953.672-07;97447
014.956.378-75;96160
014.957.326-06;16103
014.957.386-39;23124
014.957.628-58;27949
014.957.862-85;89826
014.963.872-87;50069
014.967.523-25;10306
014.968.237-96;9676
014.968.725-76;79276
014.973.825-05;64191
014.976.823-04;25979
014.976.835-48;80542
014.985.263-06;63678
014.986.523-60;26421
014.987.265-85;17382
015.238.476-62;47361
015.243.678-26;45088
015.243.967-61;96324
015.247.396-34;88104
015.247.698-94;62090
015.247.986-49;61099
015.248.769-76;2388
015.249.837-05;10501
015.268.347-07;57248
015.268.349-60;55833
015.268.793-95;23979
015.276.394-52;90102
015.278.963-40;75645
015.279.364-06;49382
015.279.368-21;68789
015.279.648-76;26134
015.286.497-02;97892
015.287.639-12;18858
015.287.649-94;29689
015.289.436-51;3224
015.293.874-50;37248
015.297.648-58;5796
015.326.479-99;56134
015.329.786-77;75329
015.346.287-62;17171
015.346.728-26;12796
015.348.267-26;99615
015.348.976-66;67250
015.367.849-66;27269
015.368.297-30;58029
015.369.274-06;48950
015.372.486-26;95380
015.372.964-34;60577
015.382.746-71;97310
015.389.264-15;36880,51322
015.394.782-97;62790
015.397.628-40;80508
015.432.967-34;2308
015.436.298-06;84919
015.436.928-42;50890
015.462.879-49;53487
015.467.392-70;4383
015.467.923-25;60853
015.469.723-07;6819
015.479.326-43;77765
015.482.763-08;20144
015.483.972-88;40132
015.487.263-62;22957
015.492.683-33;83649
015.496.387-93;95910
015.497.368-84;27676
015.498.637-20;45518
015.624.879-49;5799
015.627.349-70;49176
015.627.834-08;62143
015.629.378-12;47578
015.629.874-02;70422,77635
015.634.297-99;76546
015.634.897-75;63430
015.637.498-66;8328
015.637.984-84;22367
015.639.428-60;56419
015.639.482-06;95513
015.642.398-70;46076
015.642.789-30;66833
015.642.873-35;18995
015.649.328-42;33297
015.649.387-00;50311
015.649.873-10;85196
015.672.483-90;72187
015.674.392-25;28285
015.682.793-02;60132
015.683.947-48;74841
015.687.924-76;59021
015.689.273-12;95386
015.689.743-10;91601
015.692.473-07;94026
015.692.748-94;44379
015.723.468-17;99120
015.726.934-52;54632
015.728.439-50;28356
015.729.483-88;77162
015.729.864-76;52423
015.736.429-16;51086
015.736.492-52;2240
015.738.429-23;55554
015.738.629-59;3401
015.738.642-26;85158
015.739.624-06;51384
015.746.923-99;40498
015.748.392-41;65953
015.748.693-10;73442
015.763.429-99;20420
015.764.289-58;20272
015.769.328-77;23068
015.784.936-84;67279
015.792.346-07;30647
015.792.634-61;56962
015.792.836-59;21780
015.794.632-07;68376
015.798.362-59;12417
015.798.632-21;50639
015.823.467-71;72991
015.827.643-44;36723
015.837.246-80;73657
015.837.649-84;49326
015.837.946-20;34409
015.842.973-79;89110
015.843.679-20;43609
015.847.293-41;84617
015.849.726-02;49005
015.862.374-62;67637
015.862.439-42;17374
015.864.793-93;41399
015.867.429-49;96415
015.869.342-60;25201
015.873.294-41;57245
015.873.629-02;6587
015.873.946-93;37153
015.874.269-94;14186
015.876.294-02;7882
015.876.932-59;66693
015.892.347-23;60102
015.893.674-48;5764
015.894.273-60;52569
015.923.768-86;44353
015.924.367-06;75610
015.924.638-51;97599
015.926.874-58;64397
015.938.427-32;88220,97567
015.946.783-75;17752
015.947.263-61;43348
015.947.328-41;2029
015.948.762-58;943
015.963.827-59;78151
015.967.243-07;59971
015.972.384-14;47780
015.972.836-30;65792
015.973.286-77;18165
015.974.283-88;30839
015.983.672-77;63267
015.983.726-02;30786
015.986.273-68;7120
015.987.634-66;13087
016.234.759-61;6402
016.239.578-77;52472
016.245.387-62;40735
016.245.798-76;34876
016.245.978-58;46743
016.247.358-35;76582
016.247.893-31;72830
016.247.938-78;20222
016.253.849-98;29001
016.254.739-07;32917
016.254.987-30;55605
016.257.389-86;2158
016.273.485-90;37455
016.274.589-30;72000
016.279.438-03;58266
016.283.459-42;87382
016.283.795-02;55245
016.283.957-02;91315
016.284.973-78;9098
016.285.947-30;67855
016.297.584-85;79273
016.325.948-89;68967
016.327.849-04;70844
016.328.975-12;59453
016.342.579-52;47907
016.342.957-06;93153
016.342.975-80;44787
016.345.897-93;99760
016.347.589-00;88963
016.347.895-39;78087
016.348.795-20;21066
016.359.824-05;56441
016.375.824-71;70330
016.379.524-06;13247
016.379.528-21;64286
016.379.825-77;90101
016.385.429-70;39561
016.387.254-62;44508
016.387.524-35;6769
016.392.457-07;76515
016.395.824-60;98386
016.397.285-03;86976
016.397.582-59;13159
016.397.845-00;23804
016.398.247-31;73554
016.427.853-26;10376
016.428.379-03;31833
016.428.935-60;43062
016.429.583-60;55870
016.438.579-75;23379
016.438.759-57;26879
016.452.379-07;56723
016.452.937-34;93986
016.453.927-16;29013
016.458.723-35;73147
016.478.352-08;9468
016.479.825-02;17943
016.483.579-20;30493
016.492.875-85;26175
016.497.583-75;95213
016.498.735-57;36789
